Total Nacional;Comunidades y Ciudades Autonomas;Titular de la vivienda;Periodo;Total
Total Nacional;08 Castilla - La Mancha;Total;2022;696
Total Nacional;08 Castilla - La Mancha;Total;2021;1041
Total Nacional;08 Castilla - La Mancha;Total;2020;822
Total Nacional;08 Castilla - La Mancha;Total;2019;1714
Total Nacional;08 Castilla - La Mancha;Total;2018;1472
Total Nacional;08 Castilla - La Mancha;Total;2017;1012
Total Nacional;08 Castilla - La Mancha;Total;2016;1553
Total Nacional;08 Castilla - La Mancha;Total;2015;2548
Total Nacional;08 Castilla - La Mancha;Total;2014;4024
Total Nacional;08 Castilla - La Mancha;Persona fisica;2023;460
Total Nacional;08 Castilla - La Mancha;Persona fisica;2022;626
Total Nacional;08 Castilla - La Mancha;Persona fisica;2021;705
Total Nacional;08 Castilla - La Mancha;Persona fisica;2020;418
Total Nacional;08 Castilla - La Mancha;Persona fisica;2019;377
Total Nacional;08 Castilla - La Mancha;Persona fisica;2018;353
Total Nacional;08 Castilla - La Mancha;Persona fisica;2017;639
Total Nacional;08 Castilla - La Mancha;Persona fisica;2016;1097
Total Nacional;08 Castilla - La Mancha;Persona fisica;2015;1586
Total Nacional;08 Castilla - La Mancha;Persona fisica;2014;2241
Total Nacional;08 Castilla - La Mancha;Persona juridica;2023;63
Total Nacional;08 Castilla - La Mancha;Persona juridica;2022;70
Total Nacional;08 Castilla - La Mancha;Persona juridica;2021;336
Total Nacional;08 Castilla - La Mancha;Persona juridica;2020;404
Total Nacional;08 Castilla - La Mancha;Persona juridica;2019;1337
Total Nacional;08 Castilla - La Mancha;Persona juridica;2018;1119
Total Nacional;08 Castilla - La Mancha;Persona juridica;2017;373
Total Nacional;08 Castilla - La Mancha;Persona juridica;2016;456
Total Nacional;08 Castilla - La Mancha;Persona juridica;2015;962
Total Nacional;08 Castilla - La Mancha;Persona juridica;2014;1783
Total Nacional;07 Castilla y Leon;Total;2023;303
Total Nacional;07 Castilla y Leon;Total;2022;390
Total Nacional;07 Castilla y Leon;Total;2021;419
Total Nacional;07 Castilla y Leon;Total;2020;574
Total Nacional;07 Castilla y Leon;Total;2019;795
Total Nacional;07 Castilla y Leon;Total;2018;857
Total Nacional;07 Castilla y Leon;Total;2017;739
Total Nacional;07 Castilla y Leon;Total;2016;1015
Total Nacional;07 Castilla y Leon;Total;2015;1907
Total Nacional;07 Castilla y Leon;Total;2014;2675
Total Nacional;07 Castilla y Leon;Persona fisica;2023;217
Total Nacional;07 Castilla y Leon;Persona fisica;2022;295
Total Nacional;07 Castilla y Leon;Persona fisica;2021;333
Total Nacional;07 Castilla y Leon;Persona fisica;2020;275
Total Nacional;07 Castilla y Leon;Persona fisica;2019;253
Total Nacional;07 Castilla y Leon;Persona fisica;2018;323
Total Nacional;07 Castilla y Leon;Persona fisica;2017;346
Total Nacional;07 Castilla y Leon;Persona fisica;2016;549
Total Nacional;07 Castilla y Leon;Persona fisica;2015;1009
Total Nacional;07 Castilla y Leon;Persona fisica;2014;1600
Total Nacional;07 Castilla y Leon;Persona juridica;2023;86
Total Nacional;07 Castilla y Leon;Persona juridica;2022;95
Total Nacional;07 Castilla y Leon;Persona juridica;2021;86
Total Nacional;07 Castilla y Leon;Persona juridica;2020;299
Total Nacional;07 Castilla y Leon;Persona juridica;2019;542
Total Nacional;07 Castilla y Leon;Persona juridica;2018;534
Total Nacional;07 Castilla y Leon;Persona juridica;2017;393
Total Nacional;07 Castilla y Leon;Persona juridica;2016;466
Total Nacional;07 Castilla y Leon;Persona juridica;2015;898
Total Nacional;07 Castilla y Leon;Persona juridica;2014;1075
Total Nacional;09 Cataluña;Total;2023;2740
Total Nacional;09 Cataluña;Total;2022;3149
Total Nacional;09 Cataluña;Total;2021;3735
Total Nacional;09 Cataluña;Total;2020;3545
Total Nacional;09 Cataluña;Total;2019;5927
Total Nacional;09 Cataluña;Total;2018;4688
Total Nacional;09 Cataluña;Total;2017;4372
Total Nacional;09 Cataluña;Total;2016;6991
Total Nacional;09 Cataluña;Total;2015;11110
Total Nacional;09 Cataluña;Total;2014;14347
Total Nacional;09 Cataluña;Persona fisica;2023;2320
Total Nacional;09 Cataluña;Persona fisica;2022;2627
Total Nacional;09 Cataluña;Persona fisica;2021;2940
Total Nacional;09 Cataluña;Persona fisica;2020;2089
Total Nacional;09 Cataluña;Persona fisica;2019;1408
Total Nacional;09 Cataluña;Persona fisica;2018;1641
Total Nacional;09 Cataluña;Persona fisica;2017;2335
Total Nacional;09 Cataluña;Persona fisica;2016;5001
Total Nacional;09 Cataluña;Persona fisica;2015;7341
Total Nacional;09 Cataluña;Persona fisica;2014;10803
Total Nacional;09 Cataluña;Persona juridica;2023;420
Total Nacional;09 Cataluña;Persona juridica;2022;522
Total Nacional;09 Cataluña;Persona juridica;2021;795
Total Nacional;09 Cataluña;Persona juridica;2020;1456
Total Nacional;09 Cataluña;Persona juridica;2019;4519
Total Nacional;09 Cataluña;Persona juridica;2018;3047
Total Nacional;09 Cataluña;Persona juridica;2017;2037
Total Nacional;09 Cataluña;Persona juridica;2016;1990
Total Nacional;09 Cataluña;Persona juridica;2015;3769
Total Nacional;09 Cataluña;Persona juridica;2014;3544
Total Nacional;10 Comunitat Valenciana;Total;2023;2497
Total Nacional;10 Comunitat Valenciana;Total;2022;3388
Total Nacional;10 Comunitat Valenciana;Total;2021;4559
Total Nacional;10 Comunitat Valenciana;Total;2020;4526
Total Nacional;10 Comunitat Valenciana;Total;2019;5390
Total Nacional;10 Comunitat Valenciana;Total;2018;5407
Total Nacional;10 Comunitat Valenciana;Total;2017;5332
Total Nacional;10 Comunitat Valenciana;Total;2016;7549
Total Nacional;10 Comunitat Valenciana;Total;2015;10714
Total Nacional;10 Comunitat Valenciana;Total;2014;11160
Total Nacional;10 Comunitat Valenciana;Persona fisica;2023;2239
Total Nacional;10 Comunitat Valenciana;Persona fisica;2022;2885
